pair_id,style,ref_path,search_path,gt_x,gt_y,pitch,scale,noise_sigma_ref,noise_sigma_search,rotation_deg,blur_ref,blur_search,dose_ref,dose_search,charging_intensity,salt_pepper_prob,gamma_ref,gamma_search
0,dram,data/sample_pairs/ref_0000.png,data/sample_pairs/search_0000.png,520.14,496.05,40,10.005,7.79,16.72,2.46,0.43,0.51,599.9,146.0,0.0,0.0,0.959,0.919
1,dram,data/sample_pairs/ref_0001.png,data/sample_pairs/search_0001.png,479.7,610.69,37,9.337,5.62,14.0,-1.55,0.59,0.48,591.5,171.8,0.0,0.0,1.07,0.921
2,finfet,data/sample_pairs/ref_0002.png,data/sample_pairs/search_0002.png,425.37,476.78,20,10.911,5.63,12.85,-0.02,0.38,0.82,507.6,150.9,0.0,0.0,0.953,0.984
3,dram,data/sample_pairs/ref_0003.png,data/sample_pairs/search_0003.png,631.44,575.43,43,9.089,4.54,15.09,2.51,0.23,0.48,497.9,121.9,0.0,0.0002,0.951,1.003
4,dram,data/sample_pairs/ref_0004.png,data/sample_pairs/search_0004.png,526.24,462.54,42,9.608,5.33,17.92,-0.88,0.27,0.68,456.8,180.0,0.0,0.0,1.043,1.03
5,dram,data/sample_pairs/ref_0005.png,data/sample_pairs/search_0005.png,634.35,437.0,44,10.236,6.34,17.1,-0.04,0.48,0.62,480.2,135.0,0.718,0.0,1.084,0.932
6,finfet,data/sample_pairs/ref_0006.png,data/sample_pairs/search_0006.png,380.04,541.72,20,9.896,4.21,14.19,-0.9,0.22,0.71,466.0,157.1,0.0,0.0,0.902,1.082
7,dram,data/sample_pairs/ref_0007.png,data/sample_pairs/search_0007.png,498.09,569.26,40,10.004,4.68,10.41,1.33,0.27,0.72,340.2,159.0,0.0,0.0,1.086,0.904
8,dram,data/sample_pairs/ref_0008.png,data/sample_pairs/search_0008.png,402.47,588.98,36,9.233,6.24,10.14,2.94,0.46,0.74,567.6,155.7,0.707,0.0024,1.091,0.951
9,finfet,data/sample_pairs/ref_0009.png,data/sample_pairs/search_0009.png,474.45,495.78,29,9.333,7.49,11.48,1.84,0.24,0.51,508.5,129.8,0.471,0.0009,1.096,1.135
