pair_id,style,ref_path,search_path,gt_x,gt_y,pitch,scale,noise_sigma_ref,noise_sigma_search,rotation_deg,blur_ref,blur_search,dose_ref,dose_search,charging_intensity,salt_pepper_prob,gamma_ref,gamma_search,classical_pred_x,classical_pred_y,classical_error_px,classical_time_sec,classical_confident,classical_n_candidates,dl_pred_x,dl_pred_y,dl_error_px,dl_time_sec,dl_confident
0,dram,data/train_canonical/ref_0000.png,data/train_canonical/search_0000.png,520.14,496.05,40,10.005,7.79,16.72,2.46,0.43,0.51,599.9,146.0,0.0,0.0,0.959,0.919,520.0,496.0,0.14866068747317604,0.24409794807434082,True,4,524.0,500.0,5.522870630387789,0.05791616439819336,True
1,dram,data/train_canonical/ref_0001.png,data/train_canonical/search_0001.png,479.7,610.69,37,9.337,5.62,14.0,-1.55,0.59,0.48,591.5,171.8,0.0,0.0,1.07,0.921,479.5,595.5,15.191316598636265,0.25996971130371094,True,2,484.0,620.0,10.255052413322863,0.05309343338012695,True
2,finfet,data/train_canonical/ref_0002.png,data/train_canonical/search_0002.png,425.37,476.78,20,10.911,5.63,12.85,-0.02,0.38,0.82,507.6,150.9,0.0,0.0,0.953,0.984,425.5,476.5,0.30870698080863596,0.22002387046813965,True,9,428.0,476.0,2.7432280255202874,0.043970346450805664,True
3,dram,data/train_canonical/ref_0003.png,data/train_canonical/search_0003.png,631.44,575.43,43,9.089,4.54,15.09,2.51,0.23,0.48,497.9,121.9,0.0,0.0002,0.951,1.003,527.5,575.5,103.9400235712885,0.19173288345336914,True,8,636.0,580.0,6.455888784667836,0.04871320724487305,True
4,dram,data/train_canonical/ref_0004.png,data/train_canonical/search_0004.png,526.24,462.54,42,9.608,5.33,17.92,-0.88,0.27,0.68,456.8,180.0,0.0,0.0,1.043,1.03,526.5,462.5,0.26305892875931225,0.20219779014587402,True,4,524.0,468.0,5.901626894340222,0.04890251159667969,True
5,dram,data/train_canonical/ref_0005.png,data/train_canonical/search_0005.png,634.35,437.0,44,10.236,6.34,17.1,-0.04,0.48,0.62,480.2,135.0,0.718,0.0,1.084,0.932,484.0,437.0,150.35000000000002,0.19854450225830078,True,6,636.0,436.0,1.9293781381574544,0.04151129722595215,True
6,finfet,data/train_canonical/ref_0006.png,data/train_canonical/search_0006.png,380.04,541.72,20,9.896,4.21,14.19,-0.9,0.22,0.71,466.0,157.1,0.0,0.0,0.902,1.082,536.0,542.0,155.96025134629653,0.19283819198608398,False,9,380.0,548.0,6.280127387243006,0.0418548583984375,True
7,dram,data/train_canonical/ref_0007.png,data/train_canonical/search_0007.png,498.09,569.26,40,10.004,4.68,10.41,1.33,0.27,0.72,340.2,159.0,0.0,0.0,1.086,0.904,498.0,569.0,0.2751363298439353,0.19736766815185547,True,5,500.0,572.0,3.340014970026354,0.04381299018859863,True
8,dram,data/train_canonical/ref_0008.png,data/train_canonical/search_0008.png,402.47,588.98,36,9.233,6.24,10.14,2.94,0.46,0.74,567.6,155.7,0.707,0.0024,1.091,0.951,402.5,589.5,0.520864665724197,0.19850707054138184,True,9,412.0,588.0,9.58025573771387,0.0482335090637207,True
9,finfet,data/train_canonical/ref_0009.png,data/train_canonical/search_0009.png,474.45,495.78,29,9.333,7.49,11.48,1.84,0.24,0.51,508.5,129.8,0.471,0.0009,1.096,1.135,474.5,495.5,0.284429253066533,0.2187807559967041,True,7,476.0,500.0,4.49565345639544,0.04757499694824219,True
10,finfet,data/train_canonical/ref_0010.png,data/train_canonical/search_0010.png,611.35,440.72,30,10.567,6.78,13.48,-2.36,0.43,0.55,412.7,152.5,0.367,0.0007,0.939,0.908,585.5,440.5,25.850936153261475,0.16946768760681152,False,6,612.0,676.0,235.28089786465875,0.04890084266662598,True
11,dram,data/train_canonical/ref_0011.png,data/train_canonical/search_0011.png,563.11,494.92,43,11.0,4.26,14.81,-2.78,0.22,0.67,502.7,122.3,0.0,0.0027,0.901,1.052,500.5,494.5,62.611408704803964,0.20233893394470215,True,4,564.0,492.0,3.052621823940868,0.048891305923461914,True
12,finfet,data/train_canonical/ref_0012.png,data/train_canonical/search_0012.png,610.97,373.94,20,10.269,6.1,16.72,1.16,0.38,0.57,507.5,192.4,0.524,0.0,0.972,0.894,414.5,540.5,257.5707562981481,0.20615839958190918,True,10,612.0,380.0,6.146909792733254,0.042011260986328125,True
13,finfet,data/train_canonical/ref_0013.png,data/train_canonical/search_0013.png,634.11,532.36,24,9.995,7.39,10.24,-0.34,0.35,0.43,423.4,107.7,0.0,0.0013,0.958,0.954,444.0,532.0,190.11034085498875,0.19818544387817383,True,10,636.0,532.0,1.9239802493788647,0.03989243507385254,True
